// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated by: docs/ontology-claim.js (deterministic, no timestamp)
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >> 1) & 0x0F)
// -----------------------------------------------------------------------------
hex,classes,hierarchy,symmetry,inverse,opposite,reverse,parent,depth,distance,ones,entropy,bin,value
// [QUADRANT 1/4] ROOT: 0x00 (RESERVED|INIT|TWIN|MIRROR)
0xB6,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x49,0x6B,0x6D,0x6B,3,3,5,0.954434,10110110,182
0xB7,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x48,0x7B,0xED,0x6B,3,4,6,0.81127812,10110111,183
// Section 3.3.3:
0xEA,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x15,0xAE,0x57,0xD5,2,1,5,0.954434,11101010,234
0x74,AFTER,LEAF,BALANCED|MARGIN,0x8B,0x47,0x2E,0xEA,3,6,4,1,01110100,116
0x75,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x8A,0x57,0xAE,0xEA,3,7,5,0.954434,01110101,117
0xF4,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x0B,0x4F,0x2F,0xEA,3,5,5,0.954434,11110100,244
0xF5,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x0A,0x5F,0xAF,0xEA,3,6,6,0.81127812,11110101,245
// Section 3.3.4:
0xEB,AFTER,SECTION,UNBALANCED|ASYMMETRY,0x14,0xBE,0xD7,0xD5,2,2,6,0.81127812,11101011,235
0x76,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x89,0x67,0x6E,0xEB,3,5,5,0.954434,01110110,118
0x77,AFTER|TWIN,LEAF,UNBALANCED|REPEATER,0x88,0x77,0xEE,0xEB,3,6,6,0.81127812,01110111,119
0xF6,AFTER,LEAF,UNBALANCED|ASYMMETRY,0x09,0x6F,0x6F,0xEB,3,4,6,0.81127812,11110110,246
0xF7,AFTER,LEAF,UNBALANCED|IMPULSE,0x08,0x7F,0xEF,0xEB,3,5,7,0.54356444,11110111,247

// [QUADRANT 4/4] ROOT: 0xFF (RESERVED|RUN|TWIN|MIRROR)
0xFF,RESERVED|RUN|TWIN|MIRROR,ABSTRACT|ROOT,UNBALANCED|ABSOLUTE,0x00,0xFF,0xFF,0xFF,0,0,8,0,11111111,255
// Domain 4.1:
0x7E,RUN|MIRROR,DOMAIN,UNBALANCED|ASYMMETRY,0x81,0xE7,0x7E,0xFF,1,2,6,0.81127812,01111110,126
// Section 4.1.1:
0x3C,RUN|SHADOW|MIRROR,SECTION,BALANCED|ANTICODE,0xC3,0xC3,0x3C,0x7E,2,4,4,1,00111100,60
0x18,RUN|MIRROR,LEAF,UNBALANCED|ASYMMETRY,0xE7,0x81,0x18,0x3C,3,6,2,0.81127812,00011000,24
0x19,RUN,LEAF,UNBALANCED|ASYMMETRY,0xE6,0x91,0x98,0x3C,3,5,3,0.954434,00011001,25
0x98,RUN,LEAF,UNBALANCED|ASYMMETRY,0x67,0x89,0x19,0x3C,3,5,3,0.954434,10011000,152
0x99,RUN|TWIN|MIRROR,LEAF,BALANCED|MARGIN,0x66,0x99,0x99,0x3C,3,4,4,1,10011001,153
// Section 4.1.2:
0x3D,RUN,SECTION,UNBALANCED|ASYMMETRY,0xC2,0xD3,0xBC,0x7E,2,3,5,0.954434,00111101,61
0x1A,RUN,LEAF,UNBALANCED|ASYMMETRY,0xE5,0xA1,0x58,0x3D,3,5,3,0.954434,00011010,26
0x1B,RUN,LEAF,BALANCED|MARGIN,0xE4,0xB1,0xD8,0x3D,3,4,4,1,00011011,27
0x9A,RUN,LEAF,BALANCED|MARGIN,0x65,0xA9,0x59,0x3D,3,4,4,1,10011010,154
0x9B,RUN,LEAF,UNBALANCED|ASYMMETRY,0x64,0xB9,0xD9,0x3D,3,3,5,0.954434,10011011,155
// Section 4.1.3:
0xBC,RUN,SECTION,UNBALANCED|ASYMMETRY,0x43,0xCB,0x3D,0x7E,2,3,5,0.954434,10111100,188
0x58,RUN,LEAF,UNBALANCED|ASYMMETRY,0xA7,0x85,0x1A,0xBC,3,5,3,0.954434,01011000,88
0x59,RUN,LEAF,BALANCED|MARGIN,0xA6,0x95,0x9A,0xBC,3,4,4,1,01011001,89
0xD8,RUN,LEAF,BALANCED|MARGIN,0x27,0x8D,0x1B,0xBC,3,4,4,1,11011000,216
0xD9,RUN,LEAF,UNBALANCED|ASYMMETRY,0x26,0x9D,0x9B,0xBC,3,3,5,0.954434,11011001,217
// Section 4.1.4:
0xBD,RUN|MIRROR,SECTION,UNBALANCED|ASYMMETRY,0x42,0xDB,0xBD,0x7E,2,2,6,0.81127812,10111101,189
0x5A,RUN|SHADOW|MIRROR,LEAF,BALANCED|ANTICODE,0xA5,0xA5,0x5A,0xBD,3,4,4,1,01011010,90
0x5B,RUN,LEAF,UNBALANCED|ASYMMETRY,0xA4,0xB5,0xDA,0xBD,3,3,5,0.954434,01011011,91
0xDA,RUN,LEAF,UNBALANCED|ASYMMETRY,0x25,0xAD,0x5B,0xBD,3,3,5,0.954434,11011010,218
0xDB,RUN|MIRROR,LEAF,UNBALANCED|ASYMMETRY,0x24,0xBD,0xDB,0xBD,3,2,6,0.81127812,11011011,219
// Domain 4.2:
0x7F,RUN,DOMAIN,UNBALANCED|IMPULSE,0x80,0xF7,0xFE,0xFF,1,1,7,0.54356444,01111111,127
// Section 4.2.1:
0x3E,RUN,SECTION,UNBALANCED|ASYMMETRY,0xC1,0xE3,0x7C,0x7F,2,3,5,0.954434,00111110,62
0x1C,RUN,LEAF,UNBALANCED|ASYMMETRY,0xE3,0xC1,0x38,0x3E,3,5,3,0.954434,00011100,28
0x1D,RUN,LEAF,BALANCED|MARGIN,0xE2,0xD1,0xB8,0x3E,3,4,4,1,00011101,29
0x9C,RUN,LEAF,BALANCED|MARGIN,0x63,0xC9,0x39,0x3E,3,4,4,1,10011100,156
0x9D,RUN,LEAF,UNBALANCED|ASYMMETRY,0x62,0xD9,0xB9,0x3E,3,3,5,0.954434,10011101,157
// Section 4.2.2:
0x3F,RUN,SECTION,UNBALANCED|ASYMMETRY,0xC0,0xF3,0xFC,0x7F,2,2,6,0.81127812,00111111,63
0x1E,RUN|SHADOW,LEAF,BALANCED|ANTICODE,0xE1,0xE1,0x78,0x3F,3,4,4,1,00011110,30
0x1F,RUN,LEAF,UNBALANCED|ASYMMETRY,0xE0,0xF1,0xF8,0x3F,3,3,5,0.954434,00011111,31
0x9E,RUN,LEAF,UNBALANCED|ASYMMETRY,0x61,0xE9,0x79,0x3F,3,3,5,0.954434,10011110,158
0x9F,RUN,LEAF,UNBALANCED|ASYMMETRY,0x60,0xF9,0xF9,0x3F,3,2,6,0.81127812,10011111,159
// Section 4.2.3:
0xBE,RUN,SECTION,UNBALANCED|ASYMMETRY,0x41,0xEB,0x7D,0x7F,2,2,6,0.81127812,10111110,190
0x5C,RUN,LEAF,BALANCED|MARGIN,0xA3,0xC5,0x3A,0xBE,3,4,4,1,01011100,92
0x5D,RUN,LEAF,UNBALANCED|ASYMMETRY,0xA2,0xD5,0xBA,0xBE,3,3,5,0.954434,01011101,93
0xDC,RUN,LEAF,UNBALANCED|ASYMMETRY,0x23,0xCD,0x3B,0xBE,3,3,5,0.954434,11011100,220
0xDD,RUN|TWIN,LEAF,UNBALANCED|REPEATER,0x22,0xDD,0xBB,0xBE,3,2,6,0.81127812,11011101,221
// Section 4.2.4:
0xBF,RUN,SECTION,UNBALANCED|IMPULSE,0x40,0xFB,0xFD,0x7F,2,1,7,0.54356444,10111111,191
0x5E,RUN,LEAF,UNBALANCED|ASYMMETRY,0xA1,0xE5,0x7A,0xBF,3,3,5,0.954434,01011110,94
0x5F,RUN,LEAF,UNBALANCED|ASYMMETRY,0xA0,0xF5,0xFA,0xBF,3,2,6,0.81127812,01011111,95
0xDE,RUN,LEAF,UNBALANCED|ASYMMETRY,0x21,0xED,0x7B,0xBF,3,2,6,0.81127812,11011110,222
0xDF,RUN,LEAF,UNBALANCED|IMPULSE,0x20,0xFD,0xFB,0xBF,3,1,7,0.54356444,11011111,223
// Domain 4.3:
0xFE,RUN,DOMAIN,UNBALANCED|IMPULSE,0x01,0xEF,0x7F,0xFF,1,1,7,0.54356444,11111110,254
// Section 4.3.1:
0x7C,RUN,SECTION,UNBALANCED|ASYMMETRY,0x83,0xC7,0x3E,0xFE,2,3,5,0.954434,01111100,124
0x38,RUN,LEAF,UNBALANCED|ASYMMETRY,0xC7,0x83,0x1C,0x7C,3,5,3,0.954434,00111000,56
0x39,RUN,LEAF,BALANCED|MARGIN,0xC6,0x93,0x9C,0x7C,3,4,4,1,00111001,57
0xB8,RUN,LEAF,BALANCED|MARGIN,0x47,0x8B,0x1D,0x7C,3,4,4,1,10111000,184
0xB9,RUN,LEAF,UNBALANCED|ASYMMETRY,0x46,0x9B,0x9D,0x7C,3,3,5,0.954434,10111001,185
// Section 4.3.2:
0x7D,RUN,SECTION,UNBALANCED|ASYMMETRY,0x82,0xD7,0xBE,0xFE,2,2,6,0.81127812,01111101,125
0x3A,RUN,LEAF,BALANCED|MARGIN,0xC5,0xA3,0x5C,0x7D,3,4,4,1,00111010,58
0x3B,RUN,LEAF,UNBALANCED|ASYMMETRY,0xC4,0xB3,0xDC,0x7D,3,3,5,0.954434,00111011,59
0xBA,RUN,LEAF,UNBALANCED|ASYMMETRY,0x45,0xAB,0x5D,0x7D,3,3,5,0.954434,10111010,186
0xBB,RUN|TWIN,LEAF,UNBALANCED|REPEATER,0x44,0xBB,0xDD,0x7D,3,2,6,0.81127812,10111011,187
// Section 4.3.3:
0xFC,RUN,SECTION,UNBALANCED|ASYMMETRY,0x03,0xCF,0x3F,0xFE,2,2,6,0.81127812,11111100,252
0x78,RUN|SHADOW,LEAF,BALANCED|ANTICODE,0x87,0x87,0x1E,0xFC,3,4,4,1,01111000,120
0x79,RUN,LEAF,UNBALANCED|ASYMMETRY,0x86,0x97,0x9E,0xFC,3,3,5,0.954434,01111001,121
0xF8,RUN,LEAF,UNBALANCED|ASYMMETRY,0x07,0x8F,0x1F,0xFC,3,3,5,0.954434,11111000,248
0xF9,RUN,LEAF,UNBALANCED|ASYMMETRY,0x06,0x9F,0x9F,0xFC,3,2,6,0.81127812,11111001,249
// Section 4.3.4:
0xFD,RUN,SECTION,UNBALANCED|IMPULSE,0x02,0xDF,0xBF,0xFE,2,1,7,0.54356444,11111101,253
0x7A,RUN,LEAF,UNBALANCED|ASYMMETRY,0x85,0xA7,0x5E,0xFD,3,3,5,0.954434,01111010,122
0x7B,RUN,LEAF,UNBALANCED|ASYMMETRY,0x84,0xB7,0xDE,0xFD,3,2,6,0.81127812,01111011,123
0xFA,RUN,LEAF,UNBALANCED|ASYMMETRY,0x05,0xAF,0x5F,0xFD,3,2,6,0.81127812,11111010,250
0xFB,RUN,LEAF,UNBALANCED|IMPULSE,0x04,0xBF,0xDF,0xFD,3,1,7,0.54356444,11111011,251
