// -----------------------------------------------------------------------------
// HYPER-BYTE TOPOLOGY EXPORT
// -----------------------------------------------------------------------------
// Generated by: docs/ontology-claim.js (deterministic, no timestamp)
// Geometry:  16x16 Matrix (0..255) mapped to 4 Attractor Basins.
// Hierarchy: ROOT(4) -> DOMAIN(12) -> SECTION(48) -> LEAF(192)
// Logic:     Parent = ((Child << 1) & 0xF0) | ((Child >> 1) & 0x0F)
// -----------------------------------------------------------------------------
hex,classes,hierarchy,symmetry,inverse,opposite,reverse,parent,depth,distance,ones,entropy,bin,value
// [QUADRANT 1/4] ROOT: 0x00 (RESERVED|INIT|TWIN|MIRROR)
0xE3,INIT,LEAF,UNBALANCED|ASYMMETRY,0x1C,0x3E,0xC7,0xC1,3,5,5,0.954434,11100011,227
// Domain 1.3:
0x81,INIT|MIRROR,DOMAIN,UNBALANCED|ASYMMETRY,0x7E,0x18,0x81,0x00,1,2,2,0.81127812,10000001,129
// Section 1.3.1:
0x42,INIT|MIRROR,SECTION,UNBALANCED|ASYMMETRY,0xBD,0x24,0x42,0x81,2,2,2,0.81127812,01000010,66
0x24,INIT|MIRROR,LEAF,UNBALANCED|ASYMMETRY,0xDB,0x42,0x24,0x42,3,2,2,0.81127812,00100100,36
0x25,INIT,LEAF,UNBALANCED|ASYMMETRY,0xDA,0x52,0xA4,0x42,3,3,3,0.954434,00100101,37
0xA4,INIT,LEAF,UNBALANCED|ASYMMETRY,0x5B,0x4A,0x25,0x42,3,3,3,0.954434,10100100,164
0xA5,INIT|SHADOW|MIRROR,LEAF,BALANCED|ANTICODE,0x5A,0x5A,0xA5,0x42,3,4,4,1,10100101,165
// Section 1.3.2:
0x43,INIT,SECTION,UNBALANCED|ASYMMETRY,0xBC,0x34,0xC2,0x81,2,3,3,0.954434,01000011,67
0x26,INIT,LEAF,UNBALANCED|ASYMMETRY,0xD9,0x62,0x64,0x43,3,3,3,0.954434,00100110,38
0x27,INIT,LEAF,BALANCED|MARGIN,0xD8,0x72,0xE4,0x43,3,4,4,1,00100111,39
0xA6,INIT,LEAF,BALANCED|MARGIN,0x59,0x6A,0x65,0x43,3,4,4,1,10100110,166
0xA7,INIT,LEAF,UNBALANCED|ASYMMETRY,0x58,0x7A,0xE5,0x43,3,5,5,0.954434,10100111,167
// Section 1.3.3:
0xC2,INIT,SECTION,UNBALANCED|ASYMMETRY,0x3D,0x2C,0x43,0x81,2,3,3,0.954434,11000010,194
0x64,INIT,LEAF,UNBALANCED|ASYMMETRY,0x9B,0x46,0x26,0xC2,3,3,3,0.954434,01100100,100
0x65,INIT,LEAF,BALANCED|MARGIN,0x9A,0x56,0xA6,0xC2,3,4,4,1,01100101,101
0xE4,INIT,LEAF,BALANCED|MARGIN,0x1B,0x4E,0x27,0xC2,3,4,4,1,11100100,228
0xE5,INIT,LEAF,UNBALANCED|ASYMMETRY,0x1A,0x5E,0xA7,0xC2,3,5,5,0.954434,11100101,229
// Section 1.3.4:
0xC3,INIT|SHADOW|MIRROR,SECTION,BALANCED|ANTICODE,0x3C,0x3C,0xC3,0x81,2,4,4,1,11000011,195
0x66,INIT|TWIN|MIRROR,LEAF,BALANCED|MARGIN,0x99,0x66,0x66,0xC3,3,4,4,1,01100110,102
0x67,INIT,LEAF,UNBALANCED|ASYMMETRY,0x98,0x76,0xE6,0xC3,3,5,5,0.954434,01100111,103
0xE6,INIT,LEAF,UNBALANCED|ASYMMETRY,0x19,0x6E,0x67,0xC3,3,5,5,0.954434,11100110,230
0xE7,INIT|MIRROR,LEAF,UNBALANCED|ASYMMETRY,0x18,0x7E,0xE7,0xC3,3,6,6,0.81127812,11100111,231

// [QUADRANT 2/4] ROOT: 0x55 (BEFORE|TWIN)
0x55,BEFORE|TWIN,MOVING|ROOT,BALANCED|PARITY,0xAA,0x55,0xAA,0xAA,0,0,4,1,01010101,85
// Domain 2.1:
0x2A,BEFORE,DOMAIN,UNBALANCED|ASYMMETRY,0xD5,0xA2,0x54,0x55,1,7,3,0.954434,00101010,42
// Section 2.1.1:
0x14,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0xEB,0x41,0x28,0x2A,2,2,2,0.81127812,00010100,20
0x08,BEFORE,LEAF,UNBALANCED|IMPULSE,0xF7,0x80,0x10,0x14,3,5,1,0.54356444,00001000,8
0x09,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF6,0x90,0x90,0x14,3,4,2,0.81127812,00001001,9
0x88,BEFORE|TWIN,LEAF,UNBALANCED|REPEATER,0x77,0x88,0x11,0x14,3,6,2,0.81127812,10001000,136
0x89,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x76,0x98,0x91,0x14,3,5,3,0.954434,10001001,137
// Section 2.1.2:
0x15,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0xEA,0x51,0xA8,0x2A,2,1,3,0.954434,00010101,21
0x0A,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF5,0xA0,0x50,0x15,3,6,2,0.81127812,00001010,10
0x0B,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xF4,0xB0,0xD0,0x15,3,5,3,0.954434,00001011,11
0x8A,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x75,0xA8,0x51,0x15,3,7,3,0.954434,10001010,138
0x8B,BEFORE,LEAF,BALANCED|MARGIN,0x74,0xB8,0xD1,0x15,3,6,4,1,10001011,139
// Section 2.1.3:
0x94,BEFORE,SECTION,UNBALANCED|ASYMMETRY,0x6B,0x49,0x29,0x2A,2,3,3,0.954434,10010100,148
0x48,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xB7,0x84,0x12,0x94,3,4,2,0.81127812,01001000,72
0x49,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xB6,0x94,0x92,0x94,3,3,3,0.954434,01001001,73
0xC8,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x37,0x8C,0x13,0x94,3,5,3,0.954434,11001000,200
0xC9,BEFORE,LEAF,BALANCED|MARGIN,0x36,0x9C,0x93,0x94,3,4,4,1,11001001,201
// Section 2.1.4:
0x95,BEFORE,SECTION,BALANCED|MARGIN,0x6A,0x59,0xA9,0x2A,2,2,4,1,10010101,149
0x4A,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0xB5,0xA4,0x52,0x95,3,5,3,0.954434,01001010,74
0x4B,BEFORE|SHADOW,LEAF,BALANCED|ANTICODE,0xB4,0xB4,0xD2,0x95,3,4,4,1,01001011,75
0xCA,BEFORE,LEAF,BALANCED|MARGIN,0x35,0xAC,0x53,0x95,3,6,4,1,11001010,202
0xCB,BEFORE,LEAF,UNBALANCED|ASYMMETRY,0x34,0xBC,0xD3,0x95,3,5,5,0.954434,11001011,203
